country,country_code,city,state
"Afghanistan",AF,"Ashkāsham","Badakhshan"
"Afghanistan",AF,"Fayzabad","Badakhshan"
"Afghanistan",AF,"Jurm","Badakhshan"
"Afghanistan",AF,"Khandūd","Badakhshan"
"Afghanistan",AF,"Rāghistān","Badakhshan"
"Afghanistan",AF,"Wākhān","Badakhshan"
"Afghanistan",AF,"Ghormach","Badghis"
"Afghanistan",AF,"Qala i Naw","Badghis"
"Afghanistan",AF,"Baghlān","Baghlan"
"Afghanistan",AF,"Nahrīn","Baghlan"
"Afghanistan",AF,"Pul-e Khumrī","Baghlan"
"Afghanistan",AF,"Ḩukūmatī Dahanah-ye Ghōrī","Baghlan"
"Afghanistan",AF,"Balkh","Balkh"
"Afghanistan",AF,"Dowlatābād","Balkh"
"Afghanistan",AF,"Khulm","Balkh"
"Afghanistan",AF,"Lab-Sar","Balkh"
"Afghanistan",AF,"Mazār-e Sharīf","Balkh"
"Afghanistan",AF,"Qarchī Gak","Balkh"
"Afghanistan",AF,"Bāmyān","Bamyan"
"Afghanistan",AF,"Panjāb","Bamyan"
"Afghanistan",AF,"Nīlī","Daykundi"
"Afghanistan",AF,"Farah","Farah"
"Afghanistan",AF,"Andkhoy","Faryab"
"Afghanistan",AF,"Maymana","Faryab"
"Afghanistan",AF,"Ghazni","Ghazni"
"Afghanistan",AF,"Fayrōz Kōh","Ghōr"
"Afghanistan",AF,"Shahrak","Ghōr"
"Afghanistan",AF,"Gereshk","Helmand"
"Afghanistan",AF,"Lashkar Gāh","Helmand"
"Afghanistan",AF,"Markaz-e Ḩukūmat-e Darwēshān","Helmand"
"Afghanistan",AF,"Sangīn","Helmand"
"Afghanistan",AF,"‘Alāqahdārī Dīshū","Helmand"
"Afghanistan",AF,"Chahār Burj","Herat"
"Afghanistan",AF,"Ghōriyān","Herat"
"Afghanistan",AF,"Herāt","Herat"
"Afghanistan",AF,"Kafir Qala","Herat"
"Afghanistan",AF,"Karukh","Herat"
"Afghanistan",AF,"Kuhsān","Herat"
"Afghanistan",AF,"Kushk","Herat"
"Afghanistan",AF,"Qarah Bāgh","Herat"
